Season,Matchday,HomeTeam,AwayTeam,HomePos,AwayPos,HW,HD,HL,HGF,HGA,HGD,HPoints,AW,AD,AL,AGF,AGA,AGD,APoints,FTR
2035992,1,che,mbl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,h
2035992,1,west,bur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,a
2035992,1,tot,mre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,h
2035992,1,eve,liv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,h
2035992,1,new,kiev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,a
2035992,1,lond,bou,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,h
2035992,1,wat,sou,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,h
2035992,1,cry,wol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,a
2035992,2,liv,wat,14,8,0,0,1,0,2,-2,0,1,0,0,2,1,1,3,a
2035992,2,bou,new,11,13,0,0,1,1,2,-1,0,0,0,1,0,1,-1,0,h
2035992,2,mre,west,12,9,0,0,1,0,1,-1,0,0,0,1,0,1,-1,0,h
2035992,2,mbl,cry,16,15,1,0,0,4,1,3,3,0,0,1,0,3,-3,0,d
2035992,2,sou,lond,10,4,0,0,1,1,2,-1,0,1,0,0,2,1,1,3,a
2035992,2,kiev,che,5,1,1,0,0,1,0,1,3,1,0,0,4,1,3,3,d
2035992,2,wol,tot,2,6,1,0,0,4,1,3,3,1,0,0,1,0,1,3,d
2035992,2,bur,eve,7,3,1,0,0,1,0,1,3,1,0,0,2,0,2,3,d
2035992,3,west,wol,16,4,0,0,2,0,6,-6,0,1,1,0,3,0,3,4,h
2035992,3,sou,bou,13,10,0,0,2,1,3,-2,0,1,0,1,3,2,1,3,d
2035992,3,lond,liv,1,15,2,0,0,3,1,2,6,0,0,2,0,3,-3,0,h
2035992,3,che,new,3,14,1,1,0,4,1,3,4,0,0,2,0,3,-3,0,a
2035992,3,wat,bur,2,8,2,0,0,3,1,2,6,1,1,0,1,0,1,4,a
2035992,3,cry,kiev,11,6,0,1,1,3,6,-3,1,1,1,0,1,0,1,4,a
2035992,3,eve,mre,5,9,1,1,0,2,0,2,4,1,0,1,5,1,4,3,a
2035992,3,tot,mbl,7,12,0,1,1,4,7,-3,1,1,1,0,1,0,1,4,h
2035992,4,mbl,west,15,12,0,1,2,5,11,-6,1,1,0,2,2,7,-5,3,a
2035992,4,new,cry,11,14,1,0,2,4,3,1,3,0,1,2,3,7,-4,1,d
2035992,4,kiev,tot,3,2,2,1,0,2,0,2,7,2,1,0,5,1,4,7,d
2035992,4,liv,sou,16,13,0,0,3,1,6,-5,0,0,1,2,2,4,-2,1,h
2035992,4,wol,eve,7,9,1,1,1,4,2,2,4,1,1,1,3,3,0,4,a
2035992,4,bou,che,8,10,1,1,1,4,3,1,4,1,1,1,4,5,-1,4,a
2035992,4,bur,lond,4,1,2,1,0,3,1,2,7,3,0,0,6,2,4,9,a
2035992,4,mre,wat,5,6,2,0,1,8,2,6,6,2,0,1,4,3,1,6,a
2035992,5,sou,bur,16,7,0,1,3,2,6,-4,1,2,1,1,3,2,1,7,h
2035992,5,lond,mre,1,8,4,0,0,7,2,5,12,2,0,2,9,4,5,6,a
2035992,5,liv,bou,13,10,1,0,3,3,6,-3,3,1,1,2,4,5,-1,4,h
2035992,5,wat,wol,2,11,3,0,1,6,4,2,9,1,1,2,4,3,1,4,a
2035992,5,tot,new,3,12,2,2,0,7,3,4,8,1,1,2,4,3,1,4,h
2035992,5,eve,mbl,6,15,2,1,1,4,3,1,7,0,1,3,8,15,-7,1,d
2035992,5,cry,che,14,5,0,2,2,3,7,-4,2,2,1,1,6,5,1,7,d
2035992,5,west,kiev,9,4,2,0,2,6,10,-4,6,2,2,0,4,2,2,8,a
2035992,6,che,tot,6,2,2,2,1,6,5,1,8,3,2,0,9,4,5,11,h
2035992,6,mre,sou,4,13,3,0,2,11,5,6,9,1,1,3,5,7,-2,4,h
2035992,6,bou,cry,14,15,1,1,3,5,7,-2,4,0,3,2,3,7,-4,3,h
2035992,6,new,west,12,11,1,1,3,5,5,0,4,2,0,3,7,12,-5,6,d
2035992,6,mbl,wat,16,5,0,2,3,9,16,-7,2,3,0,2,6,5,1,9,d
2035992,6,bur,liv,9,10,2,1,2,4,5,-1,7,2,0,3,5,7,-2,6,a
2035992,6,kiev,eve,3,7,3,2,0,6,3,3,11,2,2,1,5,4,1,8,a
2035992,6,wol,lond,8,1,2,1,2,5,3,2,7,4,0,1,8,4,4,12,d
2035992,7,bur,bou,11,10,2,1,3,4,6,-2,7,2,1,3,7,7,0,7,d
2035992,7,sou,wol,14,9,1,1,4,5,10,-5,4,2,2,2,7,5,2,8,a
2035992,7,west,che,12,5,2,1,3,7,12,-5,7,3,2,1,7,5,2,11,a
2035992,7,tot,cry,3,15,3,2,1,9,5,4,11,0,3,3,3,9,-6,3,a
2035992,7,lond,mbl,1,16,4,1,1,10,6,4,13,0,3,3,10,17,-7,3,h
2035992,7,liv,mre,8,2,3,0,3,6,7,-1,9,4,0,2,14,5,9,12,d
2035992,7,wat,kiev,7,6,3,1,2,7,6,1,10,3,2,1,6,5,1,11,d
2035992,7,eve,new,4,13,3,2,1,7,4,3,11,1,2,3,5,5,0,5,h
2035992,8,bou,tot,10,8,2,2,3,8,8,0,8,3,2,2,10,10,0,11,h
2035992,8,new,wat,14,7,1,2,4,6,10,-4,5,3,2,2,8,7,1,11,h
2035992,8,che,eve,3,2,4,2,1,10,6,4,14,4,2,1,12,5,7,14,h
2035992,8,mre,bur,4,11,4,1,2,15,9,6,13,2,2,3,5,7,-2,8,h
2035992,8,wol,liv,6,9,3,2,2,9,5,4,11,3,1,3,7,8,-1,10,a
2035992,8,kiev,lond,5,1,3,3,1,7,6,1,12,5,1,1,12,6,6,16,d
2035992,8,cry,west,13,12,1,3,3,8,10,-2,6,2,1,4,8,15,-7,7,h
2035992,8,mbl,sou,16,15,0,3,4,10,19,-9,3,1,1,5,5,12,-7,4,h
2035992,9,liv,mbl,6,15,4,1,3,9,8,1,13,1,3,4,12,20,-8,6,d
2035992,9,lond,new,2,13,5,2,1,13,7,6,17,2,2,4,7,10,-3,8,d
2035992,9,bur,wol,12,7,2,2,4,5,8,-3,8,3,2,3,9,7,2,11,a
2035992,9,mre,bou,3,8,5,1,2,16,6,10,16,3,2,3,9,8,1,11,h
2035992,9,west,tot,14,10,2,1,5,8,18,-10,7,3,2,3,10,11,-1,11,h
2035992,9,sou,kiev,16,5,1,1,6,6,14,-8,4,3,4,1,8,7,1,13,a
2035992,9,eve,cry,4,11,4,2,2,12,8,4,14,2,3,3,11,10,1,9,h
2035992,9,wat,che,9,1,3,2,3,8,8,0,11,5,2,1,13,6,7,17,a
2035992,10,tot,eve,9,4,3,2,4,11,14,-3,11,5,2,2,14,9,5,17,h
2035992,10,cry,wat,12,10,2,3,4,12,12,0,9,3,2,4,8,11,-3,11,a
2035992,10,wol,mre,6,2,4,2,3,11,7,4,14,6,1,2,18,6,12,19,h
2035992,10,kiev,liv,5,7,4,4,1,9,7,2,16,4,2,3,11,10,1,14,a
2035992,10,new,sou,13,16,2,3,4,9,12,-3,9,1,1,7,6,15,-9,4,h
2035992,10,bou,west,8,11,3,2,4,9,10,-1,11,3,1,5,11,19,-8,10,d
2035992,10,mbl,bur,15,14,1,4,4,14,22,-8,7,2,2,5,5,10,-5,8,h
2035992,10,che,lond,1,3,6,2,1,16,6,10,20,5,3,1,15,9,6,18,h
2035992,11,lond,cry,3,14,5,3,2,15,11,4,18,2,3,5,14,16,-2,9,d
2035992,11,sou,che,16,1,1,1,8,6,16,-10,4,7,2,1,18,6,12,23,d
2035992,11,wat,tot,9,8,4,2,4,12,13,-1,14,4,2,4,15,16,-1,14,h
